Filing ID;Company;Ticker;CIK;Filing Date;Filing Type;Period End;Fiscal Year;Fiscal Period;SEC Link;Calcbench Published;Data
170214;TARGET CORP;TGT;27419;25.2.2014;8-K;31.1.2014;2013;4;http://www.sec.gov/Archives/edgar/data/27419/000002741914000006/0000027419-14-000006-index.htm;26.2.2014;TRUE
280990;BANK OF AMERICA CORP /DE/;BAC;70858;24.2.2014;10-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/70858/000007085814000012/0000070858-14-000012-index.htm;25.2.2014;TRUE
170304;FIRSTENERGY CORP;FE;1031296;24.2.2014;8-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000007/0001031296-14-000007-index.htm;25.2.2014;TRUE
962193;Verizon Communications Inc;VZ;732712;23.2.2014;8-K ;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/732712/000119312514064812/0001193125-14-064812-index.htm;24.2.2014;FALSE
280819;MCDONALDS CORP;MCD;63908;23.2.2014;10-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/63908/000006390814000019/0000063908-14-000019-index.htm;24.2.2014;TRUE
280744;AT&T INC.;T;732717;20.2.2014;10-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/732717/000073271714000010/0000732717-14-000010-index.htm;21.2.2014;TRUE
170521;EXXON MOBIL CORP;XOM;34088;20.2.2014;8-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/34088/000003408814000005/0000034088-14-000005-index.htm;21.2.2014;FALSE
280695;JOHNSON & JOHNSON;JNJ;200406;20.2.2014;10-K;28.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/200406/000020040614000033/0000200406-14-000033-index.htm;21.2.2014;TRUE
280663;CHEVRON CORP;CVX;93410;20.2.2014;10-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/93410/000009341014000011/0000093410-14-000011-index.htm;21.2.2014;TRUE
962194;Verizon Communications Inc;VZ;732712;20.2.2014;8-K ;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/732712/000119312514062161/0001193125-14-062161-index.htm;20.2.2014;FALSE
929844;Advanced Micro Devices Inc;AMD;2488;20.2.2014;8-K ;28.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/2488/000119312514061268/0001193125-14-061268-index.htm;20.2.2014;FALSE
929845;Advanced Micro Devices Inc;AMD;2488;19.2.2014;8-K ;28.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/2488/000119312514059941/0001193125-14-059941-index.htm;20.2.2014;FALSE
170737;WAL MART STORES INC;WMT;104169;19.2.2014;8-K;30.1.2014;2014;4;http://www.sec.gov/Archives/edgar/data/104169/000010416914000016/0000104169-14-000016-index.htm;20.2.2014;TRUE
280507;JPMORGAN CHASE & CO;JPM;19617;18.2.2014;10-K;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/19617/000001961714000289/0000019617-14-000289-index.htm;20.2.2014;TRUE
