Filing ID,Company,Ticker,CIK,Filing Date,Filing Type,Period End,Fiscal Year,Fiscal Period,SEC Link,Calcbench Published,Data,is_verified_signal
1470586,BANK OF AMERICA CORP /DE/,BAC,70858,2019-10-15,8-K,29.9.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/70858/000007085819000053/0000070858-19-000053-index.htm,2019-10-16,True,True
1470144,JOHNSON & JOHNSON,JNJ,200406,2019-10-14,8-K,28.9.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/200406/000020040619000061/0000200406-19-000061-index.htm,2019-10-15,True,True
1470082,JPMORGAN CHASE & CO,JPM,19617,2019-10-14,8-K,29.9.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000194/0000019617-19-000194-index.htm,2019-10-15,True,True
1468361,"NIKE, Inc.",NKE,320187,2019-10-03,10-Q,30.8.2019,2020.0,1.0,https://www.sec.gov/Archives/edgar/data/320187/000032018719000071/0000320187-19-000071-index.htm,2019-10-04,True,True
1463299,ORACLE CORP,ORCL,1341439,2019-09-12,10-Q,30.8.2019,2020.0,1.0,https://www.sec.gov/Archives/edgar/data/1341439/000156459019034717/0001564590-19-034717-index.htm,2019-09-13,True,True
1462460,ORACLE CORP,ORCL,1341439,2019-09-10,8-K,30.8.2019,2020.0,1.0,https://www.sec.gov/Archives/edgar/data/1341439/000156459019034522/0001564590-19-034522-index.htm,2019-09-11,True,True
1461462,Walmart Inc.,WMT,104169,2019-09-05,10-Q,30.7.2019,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/104169/000010416919000064/0000104169-19-000064-index.htm,2019-09-06,True,True
1459792,TARGET CORP,TGT,27419,2019-08-29,10-Q,2.8.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/27419/000002741919000021/0000027419-19-000021-index.htm,2019-08-30,True,True
1459399,DEERE & CO,DE,315189,2019-08-28,10-Q,27.7.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/315189/000155837019008382/0001558370-19-008382-index.htm,2019-08-29,True,True
1450596,"SALESFORCE.COM, INC.",CRM,1108524,2019-08-22,10-Q,30.7.2019,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000052/0001108524-19-000052-index.htm,2019-08-23,True,True
1444618,"SALESFORCE.COM, INC.",CRM,1108524,2019-08-21,8-K,30.7.2019,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000050/0001108524-19-000050-index.htm,2019-08-22,True,True
1436713,TARGET CORP,TGT,27419,2019-08-20,8-K,2.8.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/27419/000002741919000018/0000027419-19-000018-index.htm,2019-08-21,True,True
1435656,DEERE & CO,DE,315189,2019-08-15,8-K,27.7.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/315189/000155837019008226/0001558370-19-008226-index.htm,2019-08-16,True,True
1435554,NVIDIA CORP,NVDA,1045810,2019-08-14,10-Q,27.7.2019,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/0001045810-19-000144-index.htm,2019-08-15,True,True
1435435,NVIDIA CORP,NVDA,1045810,2019-08-14,8-K,27.7.2019,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000140/0001045810-19-000140-index.htm,2019-08-15,True,True
1435134,Walmart Inc.,WMT,104169,2019-08-14,8-K,30.7.2019,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/104169/000010416919000058/0000104169-19-000058-index.htm,2019-08-15,True,True
1434688,Walt Disney Co,DIS,1744489,2019-08-13,8-K,28.6.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000173/0001744489-19-000173-index.htm,2019-08-14,True,False
1313405,APPLE INC,AAPL,320193,2019-07-29,8-K,28.6.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000073/0000320193-19-000073-index.htm,2019-08-08,True,True
1380932,PFIZER INC,PFE,78003,2019-08-07,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/78003/000007800319000064/0000078003-19-000064-index.htm,2019-08-08,True,True
1380332,VERIZON COMMUNICATIONS INC,VZ,732712,2019-08-07,8-K,30.3.2019,2019.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/000073271219000055/0000732712-19-000055-index.htm,2019-08-08,True,False
1380329,VERIZON COMMUNICATIONS INC,VZ,732712,2019-08-07,8-K,30.12.2018,2018.0,4.0,https://www.sec.gov/Archives/edgar/data/732712/000073271219000054/0000732712-19-000054-index.htm,2019-08-08,True,False
1380294,VERIZON COMMUNICATIONS INC,VZ,732712,2019-08-07,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/000073271219000052/0000732712-19-000052-index.htm,2019-08-08,True,True
1369242,EXXON MOBIL CORP,XOM,34088,2019-08-06,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/0000034088-19-000042-index.htm,2019-08-07,True,True
1369224,CHEVRON CORP,CVX,93410,2019-08-06,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/93410/000009341019000029/0000093410-19-000029-index.htm,2019-08-07,True,True
1357526,Walt Disney Co,DIS,1744489,2019-08-05,10-Q,28.6.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000167/0001744489-19-000167-index.htm,2019-08-06,True,True
1356834,MCDONALDS CORP,MCD,63908,2019-08-05,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/63908/000006390819000062/0000063908-19-000062-index.htm,2019-08-06,True,True
1355146,JPMORGAN CHASE & CO,JPM,19617,2019-08-05,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000127/0000019617-19-000127-index.htm,2019-08-06,True,True
1346141,AT&T INC.,T,732717,2019-08-04,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/000156276219000164/0001562762-19-000164-index.htm,2019-08-05,True,True
1315310,CATERPILLAR INC,CAT,18230,2019-07-31,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/18230/000001823019000224/0000018230-19-000224-index.htm,2019-08-01,True,True
1315095,VERIZON COMMUNICATIONS INC,VZ,732712,2019-07-31,8-K,30.3.2019,2019.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/000073271219000040/0000732712-19-000040-index.htm,2019-08-01,True,True
1314458,APPLE INC,AAPL,320193,2019-07-30,10-Q,28.6.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/0000320193-19-000076-index.htm,2019-07-31,True,True
1314446,ADVANCED MICRO DEVICES INC,AMD,2488,2019-07-30,10-Q,28.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/2488/000000248819000104/0000002488-19-000104-index.htm,2019-07-31,True,True
1314195,Chubb Ltd,CB,896159,2019-07-30,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/896159/000089615919000013/0000896159-19-000013-index.htm,2019-07-31,True,True
1313526,UNITED PARCEL SERVICE INC,UPS,1090727,2019-07-29,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000045/0001090727-19-000045-index.htm,2019-07-30,True,True
1313293,ADVANCED MICRO DEVICES INC,AMD,2488,2019-07-29,8-K,28.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/2488/000000248819000102/0000002488-19-000102-index.htm,2019-07-30,True,True
1312850,PROCTER & GAMBLE Co,PG,80424,2019-07-29,8-K,29.6.2019,2019.0,4.0,https://www.sec.gov/Archives/edgar/data/80424/000008042419000044/0000080424-19-000044-index.htm,2019-07-30,True,True
1312626,BANK OF AMERICA CORP /DE/,BAC,70858,2019-07-28,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/70858/000007085819000042/0000070858-19-000042-index.htm,2019-07-29,True,True
1312556,JOHNSON & JOHNSON,JNJ,200406,2019-07-28,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/200406/000020040619000053/0000200406-19-000053-index.htm,2019-07-29,True,True
1312185,PFIZER INC,PFE,78003,2019-07-28,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/78003/000007800319000053/0000078003-19-000053-index.htm,2019-07-29,True,True
1311866,VISA INC.,V,1403161,2019-07-25,10-Q,29.6.2019,2019.0,3.0,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000030/0001403161-19-000030-index.htm,2019-07-26,True,True
1311531,INTEL CORP,INTC,50863,2019-07-25,10-Q,28.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/50863/000005086319000023/0000050863-19-000023-index.htm,2019-07-26,True,True
1311530,Alphabet Inc.,GOOG,1652044,2019-07-25,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000023/0001652044-19-000023-index.htm,2019-07-26,True,True
1311602,MCDONALDS CORP,MCD,63908,2019-07-25,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/63908/000006390819000056/0000063908-19-000056-index.htm,2019-07-26,True,True
1311133,INTEL CORP,INTC,50863,2019-07-24,8-K,28.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/50863/000005086319000022/0000050863-19-000022-index.htm,2019-07-25,True,True
1310939,Alphabet Inc.,GOOG,1652044,2019-07-24,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000021/0001652044-19-000021-index.htm,2019-07-25,True,True
1310517,FORD MOTOR CO,F,37996,2019-07-24,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/37996/000003799619000067/0000037996-19-000067-index.htm,2019-07-25,True,True
1309822,CATERPILLAR INC,CAT,18230,2019-07-23,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/18230/000001823019000212/0000018230-19-000212-index.htm,2019-07-24,True,True
1309818,UNITED PARCEL SERVICE INC,UPS,1090727,2019-07-23,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000042/0001090727-19-000042-index.htm,2019-07-24,True,True
1309744,AT&T INC.,T,732717,2019-07-23,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/000073271719000031/0000732717-19-000031-index.htm,2019-07-24,True,True
1309573,FIRSTENERGY CORP,FE,1031296,2019-07-22,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/1031296/000103129619000034/0001031296-19-000034-index.htm,2019-07-23,True,True
1309477,FIRSTENERGY CORP,FE,1031296,2019-07-22,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/1031296/000103129619000032/0001031296-19-000032-index.htm,2019-07-23,True,True
